"index","target_wins","team_batting_2b","team_batting_3b","team_batting_hr","team_batting_bb","team_batting_so","team_baserun_sb","team_pitching_bb","team_pitching_so","team_fielding_e","team_fielding_dp","team_batting_1b","team_pitching_123b","team_batting_slg","team_batting_obp","log_team_batting_3b","log_team_batting_obp","pow2_team_batting_hr","sqrt_team_batting_hr"
2,70,219,22,190,685,1075,37,689,1082,193,155,908,1156,0.382058047493404,0.321464966185962,3.13549421592915,0.278740944068313,36100,13.7840487520902
3,86,232,35,137,602,917,46,602,917,175,153,973,1240,0.36512928022362,0.316668221248018,3.58351893845611,0.275104470938921,18769,11.7046999107196
4,70,209,38,96,451,922,43,454,928,164,156,1044,1299,0.341999651020764,0.30149794866902,3.66356164612965,0.263515869322943,9216,9.79795897113271
5,82,186,27,102,472,920,49,472,920,138,168,982,1195,0.327237215909091,0.294174475896049,3.3322045101752,0.257873021530345,10404,10.0995049383621
6,75,200,36,92,443,973,107,443,973,123,149,951,1187,0.326599928494816,0.289732404453415,3.61091791264422,0.254434758447053,8464,9.59166304662544
7,80,179,54,122,525,1062,80,525,1062,136,186,889,1122,0.340941768511862,0.294886693782684,4.00733318523247,0.258423196175071,14884,11.0453610171873
8,85,171,37,115,456,1027,40,459,1033,112,136,950,1165,0.332026376759936,0.289458338732668,3.63758615972639,0.254222237738763,13225,10.7238052947636
11,86,197,40,114,447,922,69,447,922,127,169,1040,1277,0.350296270477518,0.301354186534427,3.71357206670431,0.263405404242891,12996,10.6770782520313
12,76,213,18,96,441,827,72,441,827,131,159,944,1175,0.322224202459455,0.287402981197025,2.94443897916644,0.252626996306391,9216,9.79795897113271
13,78,179,27,82,374,888,60,391,928,119,141,1017,1278,0.316312056737589,0.283795706303304,3.3322045101752,0.249821085368452,6724,9.05538513813742
15,68,203,31,95,509,801,119,509,801,147,150,1043,1277,0.339156520204694,0.308630184955273,3.46573590279973,0.268980929789392,9025,9.74679434480896
16,72,196,41,55,597,816,221,601,821,185,165,1040,1285,0.317134179024477,0.3153667904644,3.73766961828337,0.274115554846325,3025,7.41619848709566
17,76,210,23,63,534,812,126,534,812,150,139,969,1202,0.307609282245008,0.299535453900252,3.17805383034795,0.262006857451559,3969,7.93725393319377
18,74,233,40,131,542,880,159,542,880,147,137,976,1249,0.368225948808473,0.313608717688799,3.71357206670431,0.272778096180606,17161,11.4455231422596
19,87,226,28,108,539,682,86,539,682,136,136,1055,1309,0.353547710590703,0.316288711602488,3.36729582998647,0.274816194557774,11664,10.3923048454133
20,88,242,43,164,589,843,100,589,843,135,172,1114,1399,0.404996600951734,0.33588668004134,3.78418963391826,0.289595251188668,26896,12.8062484748657
21,66,239,32,107,546,900,92,553,911,136,146,1082,1370,0.361178509532062,0.321365179210911,3.49650756146648,0.278665428829264,11449,10.3440804327886
23,93,268,26,186,613,760,55,613,760,106,171,1038,1332,0.410344237026888,0.333760253712683,3.29583686600433,0.288002211486323,34596,13.6381816969859
24,70,241,22,154,509,835,41,509,835,154,190,1050,1313,0.381592554291624,0.316940912490651,3.13549421592915,0.275311556523577,23716,12.4096736459909
